カテゴリ,サブカテゴリ,問題番号,問題,選択肢A,選択肢B,選択肢C,選択肢D,正解
4. ディープラーニングの概要,4.6 正則化,117,L1正則化の特徴として最も適切なものはどれか？,パラメータの二乗和にペナルティを課す,パラメータの絶対値和にペナルティを課す,パラメータをランダムに削除する,入力特徴量をランダムに削除する,B
4. ディープラーニングの概要,4.6 正則化,118,L2正則化の特徴として最も適切なものはどれか？,パラメータの二乗和にペナルティを課す,パラメータの絶対値和にペナルティを課す,パラメータをランダムに削除する,入力特徴量をランダムに削除する,A
4. ディープラーニングの概要,4.6 正則化,119,ドロップアウトの仕組みとして最も適切なものはどれか？,学習時にランダムにニューロンを無効化する,学習時にランダムにパラメータを0にする,学習時にランダムに入力特徴量を削除する,学習時にランダムに層全体を削除する,A
4. ディープラーニングの概要,4.6 正則化,120,バッチ正規化の主な効果として含まれないものはどれか？,学習の安定化,学習の高速化,過学習の軽減,モデルのパラメータ数の削減,D
4. ディープラーニングの概要,4.7 畳み込み層,121,畳み込みニューラルネットワーク（CNN）が主に用いられる分野はどれか？,時系列データ分析,画像処理,自然言語処理,強化学習,B
4. ディープラーニングの概要,4.7 畳み込み層,122,畳み込み層の主な役割として最も適切なものはどれか？,特徴マップのサイズを縮小する,局所的な特徴を抽出する,過学習を防止する,全結合層の計算量を削減する,B
4. ディープラーニングの概要,4.7 畳み込み層,123,畳み込み演算の特徴として最も適切でないものはどれか？,パラメータ共有により効率的,局所的な特徴を捉えられる,位置不変性を持つ,全ての入力ニューロンと出力ニューロンが結合する,D
4. ディープラーニングの概要,4.7 畳み込み層,124,畳み込みフィルタ（カーネル）の役割として最も適切なものはどれか？,入力画像のサイズを変更する,特定のパターンを検出する,過学習を防止する,計算量を削減する,B
4. ディープラーニングの概要,4.7 畳み込み層,125,畳み込み層のストライドの意味として最も適切なものはどれか？,フィルタのサイズ,フィルタの移動幅,出力特徴マップのチャネル数,パディングのサイズ,B
4. ディープラーニングの概要,4.8 プーリング層,126,プーリング層の主な役割として最も適切なものはどれか？,特徴マップのサイズを縮小し、計算量を削減する,新しい特徴を抽出する,モデルに非線形性を導入する,過学習を防止する,A
4. ディープラーニングの概要,4.8 プーリング層,127,最大プーリング（Max Pooling）の動作として最も適切なものはどれか？,領域内の平均値を出力する,領域内の最大値を出力する,領域内の最小値を出力する,領域内の中央値を出力する,B
4. ディープラーニングの概要,4.8 プーリング層,128,平均プーリング（Average Pooling）の動作として最も適切なものはどれか？,領域内の平均値を出力する,領域内の最大値を出力する,領域内の最小値を出力する,領域内の中央値を出力する,A
4. ディープラーニングの概要,4.8 プーリング層,129,プーリング層の利点として最も適切でないものはどれか？,位置の微小な変化に対する頑健性を向上させる,パラメータ数を削減する,計算量を削減する,新しい特徴を学習する,D
4. ディープラーニングの概要,4.8 プーリング層,130,グローバルプーリングの特徴として最も適切なものはどれか？,特徴マップ全体を単一の値に集約する,複数の小さな領域に対してプーリングを行う,複数のプーリング操作を組み合わせる,プーリングのサイズを動的に変更する,A
4. ディープラーニングの概要,4.9 全結合層,131,全結合層の特徴として最も適切なものはどれか？,各ニューロンが前の層のすべてのニューロンと結合している,局所的な特徴を抽出する,パラメータ共有により効率的,位置不変性を持つ,A
4. ディープラーニングの概要,4.9 全結合層,132,全結合層の主な役割として最も適切なものはどれか？,特徴抽出,特徴マップのサイズ削減,抽出された特徴を用いた最終的な分類や回帰,過学習の防止,C
4. ディープラーニングの概要,4.9 全結合層,133,全結合層の課題として最も適切なものはどれか？,計算コストが高く、パラメータ数が多い,局所的な特徴を捉えられない,非線形関数を適用できない,バッチ処理に適していない,A
4. ディープラーニングの概要,4.9 全結合層,134,CNNにおける全結合層の一般的な配置として最も適切なものはどれか？,ネットワークの最初の層,畳み込み層の直前,ネットワークの最後の層,プーリング層の直前,C
4. ディープラーニングの概要,4.9 全結合層,135,全結合層を畳み込み層で置き換える手法として知られるものはどれか？,Global Average Pooling,Transfer Learning,Fine-tuning,Data Augmentation,A
5. ディープラーニングの実装技術,5.1 最適化アルゴリズム,136,確率的勾配降下法（SGD）の特徴として最も適切なものはどれか？,全データを使って一度に勾配を計算する,ランダムに選んだ少数のデータで勾配を計算する,勾配を使わずにパラメータを更新する,二次の微分情報を用いて最適化を行う,B
5. ディープラーニングの実装技術,5.1 最適化アルゴリズム,137,モーメンタム法の主な利点として最も適切なものはどれか？,学習率を自動的に調整できる,過去の勾配情報を利用して局所解を回避しやすくする,パラメータごとに異なる学習率を適用できる,二次の微分情報を利用できる,B
5. ディープラーニングの実装技術,5.1 最適化アルゴリズム,138,Adamオプティマイザの特徴として最も適切なものはどれか？,モーメンタムと適応的学習率を組み合わせたアルゴリズム,単純な勾配降下法の一種,二次の微分情報を用いる最適化アルゴリズム,バッチサイズを自動的に調整するアルゴリズム,A
5. ディープラーニングの実装技術,5.1 最適化アルゴリズム,139,グローバルな最適解を保証する最適化アルゴリズムはどれか？,確率的勾配降下法（SGD）,Adam,RMSprop,どれも保証しない,D
5. ディープラーニングの実装技術,5.2 勾配消失問題,140,勾配消失問題が発生する主な原因として最も適切なものはどれか？,学習率が大きすぎる,バッチサイズが小さすぎる,深いネットワークでシグモイドなどの活性化関数を使用する,データ量が少なすぎる,C
5. ディープラーニングの実装技術,5.2 勾配消失問題,141,勾配消失問題への対策として最も適切でないものはどれか？,ReLUなどの勾配消失しにくい活性化関数の使用,バッチ正規化の導入,残差接続（スキップ接続）の導入,学習率を大きくする,D
5. ディープラーニングの実装技術,5.2 勾配消失問題,142,勾配爆発問題への対策として最も適切なものはどれか？,勾配クリッピング,ドロップアウトの増加,バッチサイズの増加,活性化関数の削除,A
5. ディープラーニングの実装技術,5.2 勾配消失問題,143,Leaky ReLU関数が勾配消失問題に対して有効な理由として最も適切なものはどれか？,負の入力に対しても小さな勾配を持つ,常に大きな勾配を持つ,入力を正規化する,二次の微分情報を利用する,A
5. ディープラーニングの実装技術,5.2 勾配消失問題,144,勾配消失問題が特に顕著に現れるネットワークアーキテクチャはどれか？,浅いニューラルネットワーク,深いリカレントニューラルネットワーク,単層パーセプトロン,決定木ベースのモデル,B
5. ディープラーニングの実装技術,5.3 データ拡張,145,データ拡張の主な目的として最も適切なものはどれか？,学習速度を向上させる,モデルの汎化性能を向上させる,モデルのパラメータ数を削減する,推論速度を向上させる,B
5. ディープラーニングの実装技術,5.3 データ拡張,146,画像データに対するデータ拡張手法として含まれないものはどれか？,回転,反転,クロップ,トピックモデリング,D
5. ディープラーニングの実装技術,5.3 データ拡張,147,データ拡張が効果的な状況として最も適切なものはどれか？,訓練データが非常に多い場合,訓練データが少ない場合,モデルが非常にシンプルな場合,推論速度が重要な場合,B
5. ディープラーニングの実装技術,5.3 データ拡張,148,自然言語処理におけるデータ拡張手法として最も適切なものはどれか？,回転と反転,同義語置換や逆翻訳,カラージッタリング,ズームインとズームアウト,B
5. ディープラーニングの実装技術,5.3 データ拡張,149,データ拡張の潜在的な問題点として最も適切なものはどれか？,常に計算コストが非常に高い,不適切な拡張によりデータの意味が変わる可能性がある,モデルのパラメータ数が増加する,推論時にも適用する必要がある,B
5. ディープラーニングの実装技術,5.4 転移学習,150,転移学習の定義として最も適切なものはどれか？,あるタスクで学習したモデルの知識を別のタスクに転用する手法,複数のモデルを組み合わせる手法,モデルのパラメータをゼロから学習する手法,データを複数のバッチに分割して学習する手法,A
5. ディープラーニングの実装技術,5.4 転移学習,151,転移学習が特に有効な状況として最も適切なものはどれか？,目標タスクのデータが非常に多い場合,目標タスクのデータが少なく、事前学習タスクと関連性がある場合,計算リソースが無制限にある場合,事前学習モデルが小規模な場合,B
5. ディープラーニングの実装技術,5.4 転移学習,152,転移学習の一般的なアプローチとして最も適切でないものはどれか？,特徴抽出器として事前学習モデルを使用,事前学習モデルを初期値としてファインチューニング,事前学習モデルと目標タスク用モデルを並列に学習,事前学習モデルの一部の層を凍結してファインチューニング,C
5. ディープラーニングの実装技術,5.4 転移学習,153,転移学習の利点として最も適切でないものはどれか？,学習時間の短縮,少ないデータでも良好な性能を得られる可能性,常に事前学習なしの場合より良い結果が得られる,計算リソースの節約,C
5. ディープラーニングの実装技術,5.4 転移学習,154,「負の転移」とは何か？,転移学習によりモデルの性能が低下する現象,学習率が負の値になる現象,勾配が負の方向に更新される現象,モデルのパラメータが減少する現象,A
5. ディープラーニングの実装技術,5.5 ファインチューニング,155,ファインチューニングの定義として最も適切なものはどれか？,事前学習済みモデルを新しいタスク用に微調整する手法,モデルのハイパーパラメータを最適化する手法,データの前処理パラメータを調整する手法,モデルの推論速度を向上させる手法,A
5. ディープラーニングの実装技術,5.5 ファインチューニング,156,ファインチューニングと特徴抽出の違いとして最も適切なものはどれか？,ファインチューニングではモデルのパラメータを更新するが、特徴抽出では更新しない,ファインチューニングは画像処理専用、特徴抽出は自然言語処理専用,ファインチューニングは小規模データセット用、特徴抽出は大規模データセット用,ファインチューニングは深層学習のみに適用可能、特徴抽出は機械学習全般に適用可能,A
5. ディープラーニングの実装技術,5.5 ファインチューニング,157,ファインチューニングの一般的な手順として最も適切なものはどれか？,事前学習モデルの全層を凍結し、新しい分類層のみを学習,事前学習モデルの初期層を凍結し、後半層と新しい分類層を学習,事前学習モデルの全層をランダムに初期化し、一から学習,事前学習モデルの後半層を凍結し、初期層のみを学習,B
5. ディープラーニングの実装技術,5.5 ファインチューニング,158,ファインチューニング時に一般的に用いられる学習率として最も適切なものはどれか？,事前学習時より大きな学習率,事前学習時より小さな学習率,事前学習時と全く同じ学習率,学習率は関係ない,B
5. ディープラーニングの実装技術,5.5 ファインチューニング,159,Few-shotファインチューニングの特徴として最も適切なものはどれか？,非常に少ないサンプルでモデルを適応させる手法,非常に多くのサンプルでモデルを適応させる手法,非常に少ない計算リソースでモデルを適応させる手法,非常に少ないパラメータでモデルを構築する手法,A
5. ディープラーニングの実装技術,5.6 マルチモーダル,160,マルチモーダル学習の定義として最も適切なものはどれか？,複数のモデルを組み合わせて学習する手法,複数の異なる種類のデータ（モダリティ）を統合して学習する手法,複数の損失関数を組み合わせて学習する手法,複数のタスクを同時に学習する手法,B
5. ディープラーニングの実装技術,5.6 マルチモーダル,161,マルチモーダルモデルの例として最も適切でないものはどれか？,画像とテキストを入力とする画像キャプション生成モデル,音声と映像を入力とする感情認識モデル,画像のみを入力とする物体検出モデル,テキストと表形式データを入力とする推薦システム,C
5. ディープラーニングの実装技術,5.6 マルチモーダル,162,マルチモーダル学習の課題として最も適切でないものはどれか？,異なるモダリティ間の特徴表現の違いの扱い,モダリティ間の関係性のモデル化,欠損モダリティへの対応,単一モダリティよりも常に高い精度が得られる,D
5. ディープラーニングの実装技術,5.6 マルチモーダル,163,マルチモーダル学習のアプローチとして最も適切でないものはどれか？,早期融合（Early Fusion）：入力レベルでの特徴の結合,後期融合（Late Fusion）：各モダリティの予測結果の結合,中間融合（Intermediate Fusion）：中間層での特徴の結合,逐次融合（Sequential Fusion）：一つのモダリティを別のモダリティに変換,D
5. ディープラーニングの実装技術,5.6 マルチモーダル,164,CLIP（Contrastive Language-Image Pre-training）モデルの特徴として最も適切なものはどれか？,画像とテキストのペアを対照学習で学習した大規模マルチモーダルモデル,音声と映像を統合した感情認識モデル,テキストのみを扱う大規模言語モデル,画像のみを扱う物体検出モデル,A
5. ディープラーニングの実装技術,5.7 モデル解釈性,165,モデル解釈性（説明可能性）が重要視される主な理由として最も適切なものはどれか？,常にモデルの精度を向上させるため,計算コストを削減するため,モデルの信頼性確保や意思決定の透明性確保のため,データ収集コストを削減するため,C
5. ディープラーニングの実装技術,5.7 モデル解釈性,166,「ブラックボックス」モデルとして一般的に考えられるものはどれか？,線形回帰,決定木,ディープニューラルネットワーク,ロジスティック回帰,C
5. ディープラーニングの実装技術,5.7 モデル解釈性,167,モデル解釈手法として含まれないものはどれか？,SHAP（SHapley Additive exPlanations）,LIME（Local Interpretable Model-agnostic Explanations）,Grad-CAM,Adam最適化アルゴリズム,D
5. ディープラーニングの実装技術,5.7 モデル解釈性,168,「大域的解釈性」と「局所的解釈性」の違いとして最も適切なものはどれか？,大域的解釈性はモデル全体の挙動を説明し、局所的解釈性は特定の予測を説明する,大域的解釈性は画像データ用で、局所的解釈性はテキストデータ用,大域的解釈性は教師あり学習用で、局所的解釈性は教師なし学習用,大域的解釈性は高精度モデル用で、局所的解釈性は低精度モデル用,A
5. ディープラーニングの実装技術,5.7 モデル解釈性,169,Grad-CAMの主な用途として最も適切なものはどれか？,テキスト分類モデルの解釈,画像分類モデルが注目している領域の可視化,時系列モデルの解釈,表形式データモデルの特徴重要度の計算,B
5. ディープラーニングの実装技術,5.8 モデル圧縮化,170,"ディープラーニングの実装技術

## 5.1 最適化アルゴリズム

1. 最適化アルゴリズムの役割として最も適切なものはどれか？",データの前処理を行う,モデルのパラメータを最適化する,モデルのアーキテクチャを設計する,特徴量を選択する,B
5. ディープラーニングの実装技術,5.8 モデル圧縮化,171,モデル圧縮の主な目的として最も適切なものはどれか？,モデルの精度を向上させる,モデルのサイズと計算コストを削減する,モデルの解釈性を向上させる,モデルの学習速度を向上させる,B
5. ディープラーニングの実装技術,5.8 モデル圧縮化,172,モデル量子化の説明として最も適切なものはどれか？,モデルのパラメータを削減する手法,モデルのパラメータの精度（ビット数）を下げる手法,モデルの層数を削減する手法,モデルを複数の小さなモデルに分割する手法,B
5. ディープラーニングの実装技術,5.8 モデル圧縮化,173,モデル枝刈り（プルーニング）の説明として最も適切なものはどれか？,重要度の低いパラメータやニューロンを削除する手法,モデルのパラメータの精度を下げる手法,モデルを複数の小さなモデルに分割する手法,モデルの入力サイズを削減する手法,A
5. ディープラーニングの実装技術,5.8 モデル圧縮化,174,知識蒸留（Knowledge Distillation）の説明として最も適切なものはどれか？,大きなモデル（教師）の知識を小さなモデル（生徒）に転移する手法,モデルのパラメータの精度を下げる手法,重要度の低いパラメータを削除する手法,モデルを複数の小さなモデルに分割する手法,A
5. ディープラーニングの実装技術,5.8 モデル圧縮化,175,モデル圧縮の潜在的な問題点として最も適切なものはどれか？,常に学習速度が低下する,常に推論速度が低下する,圧縮によりモデルの精度が低下する可能性がある,圧縮したモデルは転移学習に使用できない,C
6. ディープラーニングの応用例,6.1 画像認識,176,物体検出（Object Detection）と画像分類（Image Classification）の違いとして最も適切なものはどれか？,物体検出は画像内の物体の位置も特定するが、画像分類は画像全体のカテゴリのみを判定する,物体検出は白黒画像のみ対応、画像分類はカラー画像のみ対応,物体検出は教師なし学習、画像分類は教師あり学習,物体検出は小さな物体のみ検出、画像分類は大きな物体のみ分類,A
6. ディープラーニングの応用例,6.1 画像認識,177,R-CNNシリーズの発展として正しい順序はどれか？,R-CNN → Fast R-CNN → Faster R-CNN → Mask R-CNN,Fast R-CNN → R-CNN → Faster R-CNN → Mask R-CNN,Faster R-CNN → Fast R-CNN → R-CNN → Mask R-CNN,Mask R-CNN → Faster R-CNN → Fast R-CNN → R-CNN,A
6. ディープラーニングの応用例,6.1 画像認識,178,YOLOの特徴として最も適切なものはどれか？,高精度だが処理速度が遅い,処理速度が速いがやや精度が劣る,学習に非常に大量のデータが必要,小さな物体の検出ができない,B
6. ディープラーニングの応用例,6.1 画像認識,179,セマンティックセグメンテーションの説明として最も適切なものはどれか？,画像内の各ピクセルをクラスごとに分類する,画像内の物体を検出し、バウンディングボックスで囲む,画像内の物体のインスタンスを個別に識別する,画像内の特定の物体を追跡する,A
6. ディープラーニングの応用例,6.2 自然言語処理,180,自然言語処理（NLP）の定義として最も適切なものはどれか？,人間の言語をコンピュータに理解・生成させる技術,音声をテキストに変換する技術,テキストを画像に変換する技術,言語間の翻訳を行う技術のみ,A
6. ディープラーニングの応用例,6.2 自然言語処理,181,単語埋め込み（Word Embedding）の目的として最も適切なものはどれか？,単語を固定長の密ベクトルで表現し、意味的関係を捉える,単語の出現頻度をカウントする,単語の文法的役割を特定する,単語の発音を数値化する,A
6. ディープラーニングの応用例,6.2 自然言語処理,182,Transformerアーキテクチャの核となる機構はどれか？,畳み込み層,再帰層,自己注意機構（Self-Attention）,プーリング層,C
6. ディープラーニングの応用例,6.2 自然言語処理,183,BERTモデルの事前学習タスクとして含まれないものはどれか？,マスク言語モデル（Masked Language Model）,次文予測（Next Sentence Prediction）,機械翻訳（Machine Translation）,双方向コンテキスト理解,C
6. ディープラーニングの応用例,6.2 自然言語処理,184,大規模言語モデル（LLM）の特徴として最も適切でないものはどれか？,大量のテキストデータで事前学習されている,少量のデータで効率的に学習できる,様々なタスクに転用可能,Transformerアーキテクチャを基盤としていることが多い,B
6. ディープラーニングの応用例,6.3 音声処理,185,音声認識システムの一般的な処理フローとして最も適切なものはどれか？,音声信号 → 特徴抽出 → 音響モデル → 言語モデル → テキスト,音声信号 → 言語モデル → 音響モデル → 特徴抽出 → テキスト,テキスト → 言語モデル → 音響モデル → 特徴抽出 → 音声信号,テキスト → 特徴抽出 → 音響モデル → 言語モデル → 音声信号,A
6. ディープラーニングの応用例,6.3 音声処理,186,音声処理でよく使用される特徴量として最も適切なものはどれか？,RGB値,MFCC（メル周波数ケプストラム係数）,バウンディングボックス座標,単語の出現頻度,B
6. ディープラーニングの応用例,6.3 音声処理,187,End-to-Endの音声認識モデルの特徴として最も適切なものはどれか？,音響モデルと言語モデルを別々に学習する,音声信号から直接テキストを出力するよう学習する,テキストから直接音声を生成する,特徴抽出を手動で行う必要がある,B
6. ディープラーニングの応用例,6.3 音声処理,188,話者識別（Speaker Identification）の目的として最も適切なものはどれか？,音声から話者の身元を特定する,音声からテキスト内容を認識する,音声から感情を認識する,音声から言語を特定する,A
6. ディープラーニングの応用例,6.3 音声処理,189,CTCアルゴリズムの主な用途として最も適切なものはどれか？,画像認識,音声認識における音声とテキストのアライメント,自然言語処理における文法解析,強化学習における報酬計算,B
6. ディープラーニングの応用例,6.4 強化学習,190,強化学習の応用例として最も適切でないものはどれか？,ゲームAIの開発,ロボット制御,画像分類,自動運転,C
6. ディープラーニングの応用例,6.4 強化学習,191,AlphaGoの学習手法として用いられたものはどれか？,教師あり学習のみ,教師なし学習のみ,深層強化学習と自己対戦,転移学習のみ,C
6. ディープラーニングの応用例,6.4 強化学習,192,強化学習における「報酬の遅延」問題の説明として最も適切なものはどれか？,報酬関数の計算に時間がかかる問題,行動の結果が即座に得られない問題,現在の行動の結果が将来の報酬に影響する問題,報酬の大きさが小さすぎる問題,C
6. ディープラーニングの応用例,6.4 強化学習,193,「RLHF（Reinforcement Learning from Human Feedback）」の説明として最も適切なものはどれか？,人間からのフィードバックを報酬として強化学習を行う手法,人間の行動を模倣して学習する手法,人間と機械が協力して強化学習を行う手法,人間の脳の構造を模倣した強化学習手法,A
6. ディープラーニングの応用例,6.4 強化学習,194,強化学習の実世界応用における課題として最も適切でないものはどれか？,シミュレーション環境と実環境のギャップ,探索と活用のトレードオフ,サンプル効率の低さ,常に教師データが必要,D
6. ディープラーニングの応用例,6.5 生成モデル,195,生成モデルの目的として最も適切なものはどれか？,データの分類を行う,データの分布を学習し、新しいサンプルを生成する,データの異常を検出する,データの次元を削減する,B
6. ディープラーニングの応用例,6.5 生成モデル,196,GANの基本構造として最も適切なものはどれか？,生成器と識別器が敵対的に学習する,エンコーダとデコーダで構成される,複数の決定木の集合,再帰的な構造を持つネットワーク,A
6. ディープラーニングの応用例,6.5 生成モデル,197,Diffusion Modelの基本的な考え方として最も適切なものはどれか？,データに徐々にノイズを加え、そのノイズ除去過程を学習する,生成器と識別器を敵対的に学習させる,潜在空間で確率分布を学習する,自己回帰的に次のトークンを予測する,A
6. ディープラーニングの応用例,6.5 生成モデル,198,VAE（Variational Autoencoder）の特徴として最も適切なものはどれか？,敵対的な二つのネットワークで構成される,確率的な潜在変数を用いた生成モデル,自己回帰的に次のピクセルを予測する,ノイズ除去過程を学習する,B
6. ディープラーニングの応用例,6.5 生成モデル,199,NeRF（Neural Radiance Fields）の主な用途として最も適切なものはどれか？,テキスト生成,音声合成,3D表現と新視点画像の生成,時系列データの予測,C
6. ディープラーニングの応用例,6.6 異常検知,200,"ディープラーニングの応用例

## 6.1 画像認識

1. 画像認識におけるCNNの役割として最も適切なものはどれか？",画像から特徴を自動的に抽出し、分類や検出を行う,画像を生成する,画像の時系列変化を予測する,画像からテキストを生成する,A
6. ディープラーニングの応用例,6.6 異常検知,201,異常検知の定義として最も適切なものはどれか？,正常なパターンから逸脱したデータを検出する技術,データを正常と異常のクラスに分類する教師あり学習,異常データのみを用いて学習する技術,データの欠損値を検出する技術,A
6. ディープラーニングの応用例,6.6 異常検知,202,異常検知の応用例として最も適切でないものはどれか？,製造ラインでの不良品検出,ネットワーク侵入検知,医療画像からの病変検出,文書の要約生成,D
6. ディープラーニングの応用例,6.6 異常検知,203,教師なし異常検知手法として含まれないものはどれか？,オートエンコーダを用いた再構成誤差ベースの手法,One-Class SVM,Isolation Forest,サポートベクターマシンによる二値分類,D
6. ディープラーニングの応用例,6.6 異常検知,204,異常検知における「新規性検出（Novelty Detection）」と「外れ値検出（Outlier Detection）」の違いとして最も適切なものはどれか？,新規性検出は正常データのみで学習し、外れ値検出は異常データのみで学習する,新規性検出は訓練時に見たことのないパターンを検出し、外れ値検出は訓練データ内の異常を検出する,新規性検出は画像データ専用で、外れ値検出は数値データ専用,新規性検出は教師あり学習で、外れ値検出は教師なし学習,B
6. ディープラーニングの応用例,6.6 異常検知,205,異常検知の評価指標として最も適切でないものはどれか？,適合率（Precision）,再現率（Recall）,AUC（Area Under the Curve）,平均二乗誤差（MSE）,D
7. AIの社会実装に向けて,7.1 AIプロジェクトの進め方,206,AIプロジェクトの要件定義段階で最も重要な観点はどれか？,最新のAI技術を採用すること,ビジネス課題とAI技術のマッチングを検討すること,できるだけ多くのデータを収集すること,開発期間を短くすること,B
7. AIの社会実装に向けて,7.1 AIプロジェクトの進め方,207,AIプロジェクトの失敗要因として最も適切でないものはどれか？,解決すべき課題が明確でない,必要なデータが不足している,過度に高い精度を期待している,オープンソースのフレームワークを使用している,D
7. AIの社会実装に向けて,7.1 AIプロジェクトの進め方,208,AIプロジェクトにおけるPoC（概念実証）の目的として最も適切なものはどれか？,本番環境での運用を開始する,AIソリューションの実現可能性と有効性を検証する,大規模なデータセットを構築する,システムの完全な機能を実装する,B
7. AIの社会実装に向けて,7.1 AIプロジェクトの進め方,209,AIプロジェクトにおける「MLOps」の説明として最も適切なものはどれか？,機械学習モデルの開発から運用までのライフサイクル全体を効率化する実践,機械学習アルゴリズムの最適化手法,機械学習モデルの説明可能性を向上させる技術,機械学習用のハードウェア最適化技術,A
7. AIの社会実装に向けて,7.1 AIプロジェクトの進め方,210,AIプロジェクトにおける「データドリフト」の説明として最も適切なものはどれか？,データの欠損値が増加する現象,時間経過によりデータの分布が変化する現象,データの次元が増加する現象,データの保存形式が変更される現象,B
7. AIの社会実装に向けて,7.1 AIプロジェクトの進め方,211,AIシステムの品質保証において重要な観点として最も適切でないものはどれか？,モデルの精度評価,バイアスと公平性の検証,堅牢性と安全性の確認,最新のアルゴリズムの採用,D
7. AIの社会実装に向けて,7.1 AIプロジェクトの進め方,212,AIプロジェクトにおける「説明可能性（Explainability）」が重要視される理由として最も適切なものはどれか？,モデルの学習速度を向上させるため,モデルの予測根拠を理解し、信頼性と透明性を確保するため,データ収集コストを削減するため,プログラムのバグを減らすため,B
7. AIの社会実装に向けて,7.2 データの収集・加工・分析・学習,213,機械学習のためのデータ収集において最も重要な観点はどれか？,できるだけ多くのデータを収集すること,目的に適した質の高いデータを収集すること,最新のデータのみを収集すること,公開データのみを使用すること,B
7. AIの社会実装に向けて,7.2 データの収集・加工・分析・学習,214,データクレンジングの目的として最も適切なものはどれか？,データ量を増やす,データの次元を削減する,データの品質を向上させる,データの可視化を行う,C
7. AIの社会実装に向けて,7.2 データの収集・加工・分析・学習,215,データの前処理として含まれないものはどれか？,欠損値の処理,特徴量のスケーリング,カテゴリ変数のエンコーディング,モデルのハイパーパラメータ調整,D
7. AIの社会実装に向けて,7.2 データの収集・加工・分析・学習,216,データの不均衡（クラス不均衡）問題への対処法として含まれないものはどれか？,オーバーサンプリング,アンダーサンプリング,重み付け学習,次元削減,D
7. AIの社会実装に向けて,7.2 データの収集・加工・分析・学習,217,特徴量エンジニアリングの目的として最も適切なものはどれか？,データ量を増やす,モデルの性能向上に役立つ特徴を作成・選択する,モデルの学習速度を向上させる,データの可視化を行う,B
7. AIの社会実装に向けて,7.2 データの収集・加工・分析・学習,218,データ拡張（Data Augmentation）が特に有効な分野はどれか？,表形式データ分析,画像認識,異常検知,時系列予測,B
7. AIの社会実装に向けて,7.2 データの収集・加工・分析・学習,219,AIプロジェクトにおけるデータ品質の評価指標として最も適切でないものはどれか？,完全性（欠損値の少なさ）,正確性（誤りの少なさ）,一貫性（矛盾の少なさ）,複雑性（複雑さの高さ）,D
8. AIに必要な数理・統計知識,8.1 確率・統計,220,正規分布の特徴として最も適切でないものはどれか？,平均値と分散で特徴づけられる,左右対称の釣鐘型の形状,多くの自然現象や測定誤差がこの分布に従う,常に正の値のみをとる,D
8. AIに必要な数理・統計知識,8.1 確率・統計,221,ベイズの定理の主な用途として最も適切なものはどれか？,データの分散を計算する,事前確率と尤度から事後確率を求める,データの相関係数を計算する,データの中央値を求める,B
8. AIに必要な数理・統計知識,8.1 確率・統計,222,「p値」の説明として最も適切なものはどれか？,帰無仮説が正しいと仮定した場合に、観測されたデータ以上に極端な結果が得られる確率,対立仮説が正しい確率,実験の検出力を表す指標,効果量の大きさを表す指標,A
8. AIに必要な数理・統計知識,8.1 確率・統計,223,機械学習における「過学習」と統計学における「多重比較問題」の共通点として最も適切なものはどれか？,どちらもデータ量が少ない場合に発生しやすい,どちらも偽陽性（誤検出）のリスクが高まる問題,どちらも計算コストが高い問題,どちらもデータの前処理で解決できる問題,B
8. AIに必要な数理・統計知識,8.2 線形代数,224,機械学習における線形代数の重要性として最も適切なものはどれか？,データやモデルを効率的に表現・操作するための数学的基盤となる,確率計算を行うために必要,微分方程式を解くために必要,グラフ理論を適用するために必要,A
8. AIに必要な数理・統計知識,8.2 線形代数,225,ベクトルの内積の幾何学的解釈として最も適切なものはどれか？,二つのベクトルの長さの和,二つのベクトルの長さの積と、それらのなす角のコサインの積,二つのベクトルの長さの差,二つのベクトルの長さの積と、それらのなす角のサインの積,B
8. AIに必要な数理・統計知識,8.2 線形代数,226,特異値分解（SVD）の主な用途として含まれないものはどれか？,次元削減,ノイズ除去,勾配計算,推薦システム,C
8. AIに必要な数理・統計知識,8.2 線形代数,227,主成分分析（PCA）の目的として最も適切なものはどれか？,データの分類を行う,データの次元を削減しながら情報量を最大限保持する,データ間の因果関係を特定する,データの欠損値を補完する,B
8. AIに必要な数理・統計知識,8.2 線形代数,228,行列の固有値と固有ベクトルの説明として最も適切なものはどれか？,行列の対角成分の値とその位置ベクトル,行列の逆行列を計算するための値とベクトル,行列による変換で方向が変わらず、大きさだけが変わるベクトルとその拡大率,行列の各行の和と各行ベクトル,C
8. AIに必要な数理・統計知識,8.3 微分・最適化,229,"AIの社会実装に向けて

## 7.1 AIプロジェクトの進め方

1. AIプロジェクトの一般的な進め方として最も適切な順序はどれか？",要件定義→データ収集→モデル構築→評価→実装→運用保守,モデル構築→要件定義→データ収集→評価→実装→運用保守,データ収集→要件定義→モデル構築→評価→実装→運用保守,要件定義→モデル構築→データ収集→評価→実装→運用保守,A
8. AIに必要な数理・統計知識,8.3 微分・最適化,230,"AIに必要な数理・統計知識

## 8.1 確率・統計

16. 確率分布の説明として最も適切なものはどれか？",データの中央値を示す指標,データのばらつきを示す指標,確率変数がとりうる値と確率の対応関係,データ間の相関関係を示す指標,C
